productName,price,quantity,a,a,a,a
橘子,7.5,10,1000,10000,100000,1000000
草莓,8.5,10,2,20000,200000,2000000
葡萄,9.5,10,3,30000,300000,3000000
西瓜,10.5,10,4,40000,400000,4000000
苹果,2.0,100,5,50000,500000,5000000
苹果,5.5,10,6,60000,600000,6000000
苹果,5.5,11,7,70000,700000,7000000
苹果,5.5,12,8,80000,800000,8000000
苹果,5.5,13,9,90000,900000,9000000
苹果,5.5,14,10,100000,1000000,10000000
苹果,5.5,15,11,110000,1100000,11000000
苹果,5.5,16,12,120000,1200000,12000000
苹果,5.5,17,13,130000,1300000,13000000
苹果,5.5,18,14,140000,1400000,14000000
苹果,5.5,19,15,150000,1500000,15000000
苹果,5.5,20,16,160000,1600000,16000000